user_id,movie_id,value
1,44,5
1,42,4
1,16,1
1,12,5
1,4,5
1,36,1
2,28,5
2,19,5
2,37,4
2,23,5
2,3,1
2,30,5
2,9,1
3,14,5
3,3,5
3,7,4
3,31,4
3,16,5
3,21,2
3,36,1
4,4,5
4,1,5
4,14,4
4,19,1
4,6,5
4,17,1
4,35,4
4,30,1
5,16,5
5,1,1
5,19,5
5,23,5
5,25,4
5,29,5
5,3,1
5,21,5
5,24,4
6,20,1
6,2,5
6,8,5
6,16,1
6,32,5
6,5,5
7,43,5
7,37,2
7,16,1
7,3,5
7,10,5
7,40,1
7,45,5
8,40,4
8,41,4
8,29,4
8,20,5
8,4,2
8,42,1
8,24,5
9,4,4
9,10,5
9,32,5
9,17,5
9,21,2
9,37,1
10,4,5
10,6,5
10,35,5
10,19,2
10,15,5
10,24,1
10,9,3
10,27,1
11,17,5
11,2,1
11,27,5
11,32,1
11,20,5
11,30,5
12,31,1
12,41,5
12,22,5
12,7,1
12,29,5
12,25,4
13,6,1
13,18,5
13,34,1
13,19,5
13,23,6
13,29,4
14,44,5
14,4,5
14,26,1
14,23,1
14,45,5
14,14,5
15,19,1
15,1,5
15,14,5
15,21,1
15,3,5
15,16,1
16,27,5
16,19,4
16,29,5
16,38,5
16,39,5
16,5,2
16,43,1
17,15,5
17,20,1
17,6,5
17,22,1
17,4,5
17,17,1
18,5,5
18,11,5
18,33,5
18,18,5
18,22,1
18,37,2
19,40,5
19,23,5
19,32,1
19,30,5
19,10,1
19,36,5
19,24,4
19,44,1
19,27,5
19,22,5
20,2,4
20,19,1
20,4,5
20,23,1
20,35,5
20,18,1
20,6,4
20,9,5
21,4,5
21,5,4
21,9,4
21,43,5
21,14,5
21,31,5
21,33,5
21,32,4
21,26,1
21,36,2
21,38,1
21,44,5
22,33,1
22,40,5
22,11,1
22,26,4
22,30,5
22,23,5
23,34,1
23,39,5
23,12,1
23,25,5
23,13,5
23,45,1
23,36,4
23,22,5
24,25,4
24,19,5
24,13,5
24,41,4
24,26,5
24,14,1
24,44,1
25,17,5
25,6,1
25,19,5
25,34,1
25,22,5
26,38,5
26,35,1
26,24,5
26,14,1
26,29,5
26,44,1
26,11,5
26,23,5
27,18,5
27,12,4
27,34,5
27,26,5
27,23,1
27,38,1
28,44,5
28,45,5
28,41,1
28,17,2
28,4,5
28,5,5
29,8,1
29,16,5
29,20,5
29,35,1
29,22,4
29,27,5
30,3,1
30,37,5
30,28,1
30,23,5
30,45,1
30,30,5
30,40,5
30,24,5
30,28,4
30,22,5
31,1,5
31,20,1
31,5,5
31,24,1
31,14,5
31,18,5
31,7,4
32,45,1
32,31,2
32,24,4
32,19,5
32,30,5
32,40,5
33,15,1
33,18,5
33,14,1
33,20,5
33,21,4
33,24,5
34,26,1
34,11,5
34,34,5
34,19,1
34,2,4
34,25,2
34,3,5
35,36,1
35,28,2
35,31,5
35,33,5
35,9,5
35,42,4
35,35,5
35,45,4
35,27,1
35,32,5
35,44,5
36,20,3
36,14,5
36,35,5
36,27,5
36,18,5
36,24,1
36,39,2
37,37,5
37,33,1
37,21,5
37,7,1
37,13,5
37,39,5
37,27,5
38,1,1
38,17,5
38,3,1
38,30,4
38,19,5
38,28,5
38,26,4
39,5,5
39,24,1
39,32,5
39,20,1
39,9,4
39,27,1
39,6,5
39,14,5
40,23,5
40,20,5
40,29,5
40,38,4
40,42,2
40,32,1
41,36,5
41,23,5
41,4,1
41,26,5
41,10,1
41,29,5
41,21,5
42,4,5
42,5,5
42,9,5
42,43,5
42,16,2
42,11,1
43,15,5
43,19,1
43,31,5
43,22,2
43,27,1
43,14,5
44,2,1
44,16,5
44,5,1
44,20,5
44,29,4
44,24,5
45,3,4
45,20,5
45,7,5
45,35,5
45,16,5
45,25,1
45,40,2
46,22,5
46,5,1
46,13,5
46,11,1
46,28,5
46,37,5
47,6,1
47,18,5
47,31,1
47,28,5
47,19,5
47,22,4
48,22,5
48,20,5
48,13,5
48,36,5
48,43,1
48,33,1
49,42,4
49,3,5
49,37,1
49,17,3
49,9,5
49,32,5
50,14,5
50,20,1
50,17,2
50,35,5
50,29,1
50,10,4
50,15,5
50,8,5
50,11,5
51,3,1
51,29,5
51,42,1
51,40,5
51,30,5
51,25,4
51,19,5
51,21,5
52,14,1
52,38,5
52,30,5
52,12,1
52,40,5
52,21,5
53,3,5
53,10,4
53,33,5
53,26,5
53,30,2
53,40,1
54,18,1
54,10,4
54,34,5
54,17,5
54,26,1
54,41,1
55,17,5
55,27,5
55,8,1
55,19,5
55,32,1
55,24,5
55,21,4
56,32,5
56,34,5
56,35,5
56,41,1
56,44,5
56,45,5
57,26,4
57,29,5
57,19,5
57,40,5
57,21,4
57,44,1
57,34,1
58,39,5
58,22,5
58,31,1
58,30,5
58,28,1
58,24,5
59,44,1
59,29,4
59,37,5
59,30,5
59,38,5
59,20,5
59,14,1
59,21,5
60,4,5
60,7,5
60,34,4
60,27,5
60,29,1
60,37,1
61,16,5
61,26,5
61,15,1
61,20,5
61,25,4
61,33,1
62,41,5
62,32,1
62,11,5
62,10,1
62,24,5
62,29,5
63,5,5
63,14,4
63,33,5
63,27,4
63,18,5
63,11,1
64,40,5
64,39,4
64,30,5
64,19,5
64,24,4
64,45,1
64,35,1
65,4,5
65,45,5
65,16,1
65,10,5
65,39,1
65,9,5
65,23,1
66,23,5
66,43,1
66,19,5
66,13,5
66,32,1
66,41,5
67,18,5
67,1,1
67,26,4
67,19,5
67,34,1
67,21,5
67,13,5
68,18,5
68,14,5
68,31,5
68,26,5
68,16,3
68,13,1
68,22,2
68,36,1
69,6,5
69,19,1
69,12,5
69,30,1
69,14,5
69,18,1
70,43,5
70,17,1
70,44,5
70,40,1
70,3,5
70,29,1
70,4,5
70,31,5
70,7,5
70,12,4
71,34,1
71,41,5
71,12,1
