user_id,movie_id,value
1,4,5
1,12,5
1,16,1
1,36,1
1,42,4
1,44,5
2,3,1
2,9,1
2,19,5
2,23,5
2,28,5
2,30,5
2,37,4
3,3,5
3,7,4
3,14,5
3,16,5
3,21,2
3,31,4
3,36,1
4,1,5
4,4,5
4,6,5
4,14,4
4,17,1
4,19,1
4,30,1
4,35,4
5,1,1
5,3,1
5,16,5
5,19,5
5,21,5
5,23,5
5,24,4
5,25,4
5,29,5
6,2,5
6,5,5
6,8,5
6,16,1
6,20,1
6,32,5
7,3,5
7,10,5
7,16,1
7,37,2
7,40,1
7,43,4
7,43,5
7,45,5
8,4,2
8,20,5
8,24,5
8,29,4
8,40,4
8,41,4
8,42,1
9,4,4
9,10,5
9,17,5
9,21,2
9,32,5
9,37,1
10,4,5
10,6,5
10,9,3
10,15,5
10,19,2
10,24,1
10,27,1
10,35,5
11,2,1
11,17,5
11,20,5
11,27,5
11,30,5
11,32,1
12,7,1
12,22,5
12,25,4
12,29,5
12,31,1
12,41,5
13,6,1
13,18,5
13,19,5
13,23,5
13,29,4
13,34,1
14,4,5
14,14,5
14,23,1
14,26,1
14,44,5
14,45,5
15,1,5
15,3,5
15,14,5
15,16,1
15,19,1
15,21,1
16,5,2
16,19,4
16,27,5
16,29,5
16,38,5
16,39,5
16,43,1
17,4,5
17,6,5
17,15,5
17,17,1
17,20,1
17,22,1
18,5,5
18,11,5
18,18,5
18,22,1
18,33,5
18,37,2
19,10,1
19,22,5
19,23,5
19,24,4
19,27,5
19,30,5
19,32,1
19,36,5
19,40,5
19,44,1
20,2,4
20,4,5
20,6,4
20,9,5
20,18,1
20,19,1
20,23,1
20,35,5
21,4,5
21,5,4
21,9,4
21,14,5
21,26,1
21,31,5
21,32,4
21,33,5
21,36,2
21,38,1
21,43,5
21,44,5
22,11,1
22,23,5
22,26,4
22,30,5
22,33,1
22,40,5
23,12,1
23,13,5
23,22,5
23,25,5
23,34,1
23,36,4
23,39,5
23,45,1
24,13,5
24,14,1
24,19,5
24,25,4
24,26,5
24,41,4
24,44,1
25,6,1
25,17,5
25,19,5
25,22,5
25,34,1
26,11,5
26,14,1
26,23,5
26,24,5
26,29,5
26,35,1
26,38,5
26,44,1
27,12,4
27,18,5
27,23,1
27,26,5
27,34,5
27,38,1
28,4,5
28,5,5
28,17,2
28,41,1
28,44,5
28,45,5
29,8,1
29,16,5
29,20,5
29,22,4
29,27,5
29,35,1
30,3,1
30,22,5
30,23,5
30,24,5
30,28,4
30,28,1
30,30,5
30,37,5
30,40,5
30,45,1
31,1,5
31,5,5
31,7,4
31,14,5
31,18,5
31,20,1
31,24,1
32,19,5
32,24,4
32,30,5
32,31,2
32,40,5
32,45,1
33,14,1
33,15,1
33,18,5
33,20,5
33,21,4
33,24,5
34,2,4
34,3,5
34,11,5
34,19,1
34,25,2
34,26,1
34,34,5
35,9,5
35,27,1
35,28,2
35,31,5
35,32,5
35,33,5
35,35,5
35,36,1
35,42,4
35,44,5
